time,lat,long,mag,deep,location
2017/8/10 3:02,33.22,103.79,3.7,19,四川阿坝州九寨沟县
2017/8/10 3:06,33.14,103.86,3,24,四川阿坝州九寨沟县
2017/8/10 5:05,33.16,103.85,4.3,26,四川阿坝州九寨沟县
2017/8/10 8:10,44.26,82.71,3.3,8,新疆博尔塔拉州精河县
2017/8/10 9:54,33.16,103.85,3.2,17,四川阿坝州九寨沟县
2017/8/10 15:30,33.14,103.86,2.8,26,四川阿坝州九寨沟县
2017/8/10 17:38,33.26,103.76,3,19,四川阿坝州九寨沟县
2017/8/10 17:48,33.22,103.85,4.1,26,四川阿坝州九寨沟县
2017/8/11 7:31,47.56,89.58,3.1,6,新疆阿勒泰地区富蕴县
2017/8/11 8:05,33.17,103.87,3,25,四川阿坝州九寨沟县
2017/8/11 9:58,23.19,121.41,4.3,21,台湾台东县
2017/8/11 13:28,14,120.71,6.3,180,菲律宾
2017/8/11 19:26,33.1,103.87,3.4,26,四川阿坝州九寨沟县
2017/8/12 2:20,44.29,82.77,3.1,7,新疆博尔塔拉州精河县
2017/8/12 5:45,-16.47,-73.45,5.6,30,秘鲁沿岸近海
2017/8/12 6:19,44.28,82.71,3.3,16,新疆博尔塔拉州精河县
2017/8/12 7:56,33.12,103.87,3.7,12,四川阿坝州九寨沟县
2017/8/12 12:14,39.48,74.82,3.2,6,新疆克孜勒苏州乌恰县
2017/8/13 1:09,30.31,94.92,4.3,7,西藏林芝市波密县
2017/8/13 8:08,22.13,121.1,3.8,60,台湾屏东县海域
2017/8/13 11:08,-3.55,101.69,6.6,40,印尼苏门答腊南部
2017/8/13 11:10,23.91,114.48,3,11,广东河源市东源县
2017/8/13 11:52,38.32,75.74,3,156,新疆克孜勒苏州阿克陶县
2017/8/13 15:41,44.3,82.85,3,8,新疆博尔塔拉州精河县
2017/8/13 20:54,45.32,124.76,3.2,8,吉林松原市宁江区
2017/8/13 22:38,33.08,103.9,3.4,18,四川阿坝州九寨沟县
2017/8/14 0:51,-10.75,-74.35,5.7,10,秘鲁
2017/8/14 19:26,41.29,83.74,4.5,7,新疆阿克苏地区库车县
2017/8/15 11:58,45.42,124.75,4.5,7,吉林松原市宁江区
2017/8/15 13:16,23.19,106.16,4,6,广西百色市靖西市
2017/8/15 16:06,33.11,103.88,3,17,四川阿坝州九寨沟县
2017/8/16 2:01,25.82,98.84,3.4,8,云南怒江州泸水县
2017/8/16 6:49,38.33,74.03,4.3,7,塔吉克斯坦
2017/8/16 12:06,35.99,77.71,3,7,新疆喀什地区叶城县
2017/8/16 18:44,27.08,103.15,2.9,5,云南昭通市巧家县
2017/8/16 20:33,44.27,82.79,3,7,新疆博尔塔拉州精河县
2017/8/16 20:51,28.69,127.94,5.7,180,东海海域
2017/8/18 7:34,32.53,105.14,3,17,四川广元市青川县
2017/8/18 10:59,-1.22,-13.75,6.6,10,阿森松岛以北海域
2017/8/18 16:09,38.65,73.24,3.7,7,塔吉克斯坦
2017/8/18 17:19,44.28,82.73,3.4,8,新疆博尔塔拉州精河县
2017/8/19 0:03,31.92,102.87,3,9,四川阿坝州黑水县
2017/8/19 10:00,-17.95,-178.81,6.8,540,斐济群岛地区
2017/8/19 19:52,33.11,103.91,3.4,19,四川阿坝州九寨沟县
2017/8/20 5:14,41.31,83.82,3.8,11,新疆阿克苏地区库车县
2017/8/21 9:12,30.37,94.84,3.1,8,西藏林芝市波密县
2017/8/21 19:20,35.47,88.61,4,6,西藏那曲地区双湖县
2017/8/21 20:03,27.66,86.41,3.9,7,尼泊尔
2017/8/22 19:29,39.79,74.4,3,6,新疆克孜勒苏州乌恰县
