year,day,dayTran,time,lat,long,mag,deep,location
2017,5/3,42858,12:47:15,39.42,71.58,6.2,30,塔吉克斯坦
2017,5/3,42858,13:53:08,42.11,87.84,3,15,新疆巴音郭楞州和硕县
2017,5/4,42859,3:21:08,43.5,84.67,3,8,新疆伊犁州尼勒克县
2017,5/4,42859,13:36:28,33.71,89.48,3.4,8,西藏那曲地区双湖县
2017,5/4,42859,13:40:20,28.19,104.87,4.9,10,四川宜宾市珙县
2017,5/5,42860,13:07:29,23.38,121.65,4,34,台湾台东县海域
2017,5/5,42860,13:09:36,39.45,71.5,6,20,塔吉克斯坦
2017,5/6,42861,19:24:29,32.92,97.18,3.1,11,青海玉树州玉树市
2017,5/7,42862,21:35:17,32.96,89.45,3.6,7,西藏那曲地区双湖县
2017,5/8,42863,3:04:35,42.17,84.92,3.1,24,新疆巴音郭楞州轮台县
2017,5/8,42863,17:18:22,32.6,97.45,3.3,9,青海玉树州玉树市
2017,5/8,42863,23:31:25,51.1,-177.08,5.6,20,阿留申群岛
2017,5/8,42863,23:47:33,51.12,-177.1,5.8,20,阿留申群岛
2017,5/9,42864,1:00:49,51.81,-178.53,6.2,20,阿留申群岛
2017,5/9,42864,9:54:15,24.47,126.29,6,20,琉球群岛
2017,5/9,42864,21:52:08,-14.57,167.35,6.9,140,瓦努阿图群岛
2017,5/11,42866,5:58:19,37.58,75.25,5.5,8,新疆喀什地区塔什库尔干县
2017,5/11,42866,6:00:55,37.62,75.27,4.5,5,新疆喀什地区塔什库尔干县
2017,5/11,42866,6:29:37,37.63,75.26,3,7,新疆喀什地区塔什库尔干县
2017,5/11,42866,7:23:36,-56.3,-26.05,6.4,10,南桑威奇群岛地区
2017,5/11,42866,7:38:17,39.08,74.34,3,5,新疆克孜勒苏州阿克陶县
2017,5/11,42866,7:53:30,37.58,75.3,3.1,8,新疆喀什地区塔什库尔干县
2017,5/11,42866,12:03:40,37.59,75.31,4.2,6,新疆喀什地区塔什库尔干县
2017,5/12,42867,18:41:25,12.92,-90.01,6.2,10,中美洲沿岸远海
2017,5/12,42867,22:18:42,50.11,122.04,3.7,20,内蒙古呼伦贝尔市鄂伦春旗
2017,5/13,42868,19:50:39,32.88,104.19,3.1,12,四川绵阳市平武县
2017,5/14,42869,2:01:01,37.86,57.31,5.9,15,伊朗
2017,5/14,42869,11:56:57,36.36,106.04,2.8,9,宁夏中卫市海原县
2017,5/14,42869,13:28:12,35.24,81.59,3.8,7,新疆和田地区于田县
2017,5/15,42870,21:22:39,-4,152.49,6.2,20,巴布亚新几内亚
2017,5/15,42870,21:36:28,24.32,97.52,3.2,12,缅甸
2017,5/16,42871,0:20:02,33.05,99,4.4,10,四川甘孜州石渠县
2017,5/16,42871,7:12:53,23.31,121.49,5.6,10,台湾台东县
2017,5/16,42871,13:05:47,38.35,75.42,3,130,新疆克孜勒苏州阿克陶县
2017,5/17,42872,22:39:01,42.45,85.72,3.4,8,新疆巴音郭楞州和静县
2017,5/17,42872,23:27:56,38.21,73.12,4.7,137,塔吉克斯坦
2017,5/18,42873,3:27:23,28.98,103.16,3,12,四川乐山市峨边县
2017,5/18,42873,20:45:08,31.79,104.35,3.3,8,四川绵阳市北川县
2017,5/19,42874,3:45:13,36.42,97.23,3,9,青海海西州都兰县
2017,5/19,42874,6:06:01,44.19,83.68,3.2,6,新疆塔城地区乌苏市
2017,5/19,42874,7:06:58,30.27,96.99,3.4,6,西藏昌都市八宿县
2017,5/19,42874,16:24:00,37.64,75.23,3,7,新疆喀什地区塔什库尔干县
2017,5/19,42874,23:36:48,32.55,112.76,3,8,河南南阳市唐河县
2017,5/20,42875,0:02:15,25.65,99.34,3.7,6,云南大理州云龙县
2017,5/20,42875,2:18:49,39.17,73.96,3.3,6,新疆克孜勒苏州阿克陶县
